id,nombre,categoria,imagen
prod-00728,BIGEN MENS SPEEDY 101 NEGRO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00727,BIGEN 59 NEGRO ORIENTAL,Otros,imagenesmedimentos/genericas/otros.svg
prod-00726,"PIROXICAM 0,5% GEL 30G",Otros,imagenesmedimentos/genericas/otros.svg
prod-00725,OSCILLOCOCCINUM 6 DOSIS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00724,PAPEL HIGIENICO FAMILIA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00721,LOMOTIL 4 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00719,BELLAFACE 21 TABLETAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00718,VALERIANA + PASIFLORA 60ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00716,PESTAÑINA VOGUE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00714,RUBOR VOGUE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00713,RUBOR NAILEN,Otros,imagenesmedimentos/genericas/otros.svg
prod-00711,PRESTOBARBA VENUS MUJER,Otros,imagenesmedimentos/genericas/otros.svg
prod-00709,POLVO NAILEN,Otros,imagenesmedimentos/genericas/otros.svg
prod-00708,PESTAÑINA NAILEN,Otros,imagenesmedimentos/genericas/otros.svg
prod-00707,PESTAÑINA VOGUE EFECTO MUÑECA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00706,LAPIZ NAILEN CEJA OJO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00705,LABIAL NAILEN,Otros,imagenesmedimentos/genericas/otros.svg
prod-00703,LABIAL NAILEN LARGA DURACION,Otros,imagenesmedimentos/genericas/otros.svg
prod-00702,JABON NEKO,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00701,ILUMINADOR NAILEN,Otros,imagenesmedimentos/genericas/otros.svg
prod-00700,CORRECTOR LIQUIDO VOGUE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00699,CORRECTOR LIQUIDO NAILEN,Otros,imagenesmedimentos/genericas/otros.svg
prod-00698,BASE VOGUE 25ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00695,ACEITE DE CALENDULA 120ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00692,OMEGA 3 PHARBIOLAB,Otros,imagenesmedimentos/genericas/otros.svg
prod-00690,SURELAB MAMA POLVO VAINILLA PH,Otros,imagenesmedimentos/genericas/otros.svg
prod-00686,PROPOLVIK PASTILLAS GARGANTA S,Otros,imagenesmedimentos/genericas/otros.svg
prod-00685,FYBOGEL SOBRE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00684,VITAFER SACHETS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00683,ENGYSTOL 50 COMPRIMIDOS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00682,MASMELOS MILLOWS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00681,GOMITAS TRULULU SURTIDO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00680,GOMITAS GRISSLY SURTIDAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00679,BOM BOM BUM SURTIDO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00678,POPETAS SURTIDAS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00677,CHOCORRAMO GRANDE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00676,GALLETA TOSH MIEL,Otros,imagenesmedimentos/genericas/otros.svg
prod-00674,HALLS TUBO SURTIDO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00672,DETODITO SURTIDO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00671,TRULULU FEROZ,Otros,imagenesmedimentos/genericas/otros.svg
prod-00669,TRIDENT SURTIDOS,Otros,imagenesmedimentos/genericas/otros.svg
prod-00668,JUMBO MANI GRANDE,Otros,imagenesmedimentos/genericas/otros.svg
prod-00667,JUMBO MANI MEDIANA,Otros,imagenesmedimentos/genericas/otros.svg
prod-00665,GALLETA OREO,Otros,imagenesmedimentos/genericas/otros.svg
prod-00664,AGUA BRISA SURTIDA SABORIZADA,Bebidas,imagenesmedimentos/genericas/bebidas.svg
prod-00663,JUGO HIT SURTIDOS,Bebidas,imagenesmedimentos/genericas/bebidas.svg
prod-00662,COCA COLA 400ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00661,AGUA CRISTAL MINI,Bebidas,imagenesmedimentos/genericas/bebidas.svg
prod-00660,AGUA BRISA CON GAS 600ML,Bebidas,imagenesmedimentos/genericas/bebidas.svg
prod-00659,BIPERIDENO 2MG MK,Otros,imagenesmedimentos/genericas/otros.svg
prod-00655,IBUPROFENO 800MG CAPS LIQU MK,Antiinflamatorios,imagenesmedimentos/Ibuprofeno800mg.png
prod-00654,SHAMPOO NUTRIBELA ARGAN 400ML,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00653,POMYS ORIGINAL 6O UNI,Otros,imagenesmedimentos/genericas/otros.svg
prod-00649,CLOTRIMAZOL CREMA 40G AG,Cuidado personal,imagenesmedimentos/genericas/cuidado-personal.svg
prod-00648,DOLEX RAPIDA ACCION,Analgésicos,imagenesmedimentos/dolex.jpg
prod-00645,SODA HATSU 310ML,Otros,imagenesmedimentos/genericas/otros.svg
prod-00644,B VIT OFERTA 3 JERINGAS,Otros,imagenesmedimentos/genericas/otros.svg
