id,nombre,precio,categoria,descripcion,imagen,stock,disponible,imagen_transparente
prod-00088,BETAMETASONA CREMA AL 0.05%,12300,Analgésicos y antiinflamatorios,BETAMETASONA CREMA AL 0.05%,assets/imagenesmedimentos/reales/prod-00088.jpg,4,true,false
prod-00267,BLANKISIMA CREMA 60G,38800,Cuidado personal,BLANKISIMA CREMA 60G,assets/imagenesmedimentos/reales/prod-00267.jpg,1,true,false
prod-00165,CEPILLO COLGATE TRIPLE ACCION,5600,Cuidado personal,CEPILLO COLGATE TRIPLE ACCION,assets/imagenesmedimentos/reales/prod-00165.png,5,true,false
prod-00395,CICATRICURE GEL 30G CICATRICES,43000,Cuidado personal,CICATRICURE GEL 30G CICATRICES,assets/imagenesmedimentos/reales/prod-00395.jpg,2,true,false
prod-00249,CLOBETASOL PROPI CREMA AG,26200,Cuidado personal,CLOBETASOL PROPIONATO 0.05% CREMA 40G,assets/imagenesmedimentos/reales/prod-00249.png,2,true,false
prod-00591,CLOBETASOL PROPINATO CREMA LAP,11200,Cuidado personal,CLOBETASOL PROPINATO CREMA LAPROFF 0.05%,assets/imagenesmedimentos/reales/prod-00591.jpg,1,true,false
prod-00250,CLOTRIMAZOL CREMA VAGIN 1% AG,25600,Cuidado personal,CLOTRIMAZOL 40G CREMA 1% AG,assets/imagenesmedimentos/reales/prod-00250.png,1,true,false
prod-00902,CREMA #4 MEDICADA 30G,20200,Cuidado personal,CREMA #4 MEDICADA 30G,assets/imagenesmedimentos/reales/prod-00902.jpg,2,true,false
prod-00597,CREMA #4 NATURAL 20G,11800,Cuidado personal,CREMA #4 NATURAL 20G,assets/imagenesmedimentos/reales/prod-00597.jpg,1,true,false
prod-00363,CREMA #4 ORIGINAL 20G,10400,Cuidado personal,CREMA #4 ORIGINAL 20G,assets/imagenesmedimentos/reales/prod-00363.jpg,2,true,false
prod-00588,CREMA CALENDULA 30G CHENIER,11800,Cuidado personal,CREMA CALENDULA 30G CHENIER,assets/imagenesmedimentos/reales/prod-00588.webp,1,true,false
prod-00167,CREMA COLGATE SENSITIVE PRO AL,19800,Cuidado personal,CREMA COLGATE SENSITIVE PRO ALIVIO 110G,assets/imagenesmedimentos/reales/prod-00167.png,3,true,false
prod-00169,CREMA COLGATE TOTAL WHITENING,13100,Cuidado personal,CREMA COLGATE TOTAL WHITENING,assets/imagenesmedimentos/reales/prod-00169.jpg,5,true,false
prod-00585,CREMA DE ARNICA 60G FRESHLY,28600,Cuidado personal,CREMA DE ARNICA 60G NATURAL FRESHLY,assets/imagenesmedimentos/reales/prod-00585.jpg,1,true,false
prod-00586,CREMA DE CALENDULA 60G FRESHLY,21200,Cuidado personal,CREMA DE CALENDULA 60G NATURAL FRESHLY,assets/imagenesmedimentos/reales/prod-00586.jpg,1,true,false
prod-00595,CREMA DE CALENDULA PILI 30G,13800,Cuidado personal,CREMA DE CALENDULA PILI 30G,assets/imagenesmedimentos/reales/prod-00595.jpg,1,true,false
prod-00539,CREMA DENTAL PROQUIDENT 95G,9200,Cuidado personal,CREMA DENTAL PROQUIDENT 95G,assets/imagenesmedimentos/reales/prod-00539.jpg,1,true,false
prod-00514,CREMA DENTAL VITIS ENCIAS 100M,28200,Cuidado personal,CREMA DENTAL VITIS ENCIAS 100ML,assets/imagenesmedimentos/reales/prod-00514.jpg,1,true,false
prod-00385,CREMA NIVEA CUIDADO FACIL 7 - 100ML,24000,Cuidado personal,CREMA NIVEA CUIDADO FACIL 7 - 100ML,assets/imagenesmedimentos/reales/prod-00385.jpg,1,true,false
prod-00382,CREMA NIVEA MILK NUTRITIVA 400,33000,Cuidado personal,CREMA NIVEA MILK NUTRITIVA 400ML,assets/imagenesmedimentos/reales/prod-00382.jpg,1,true,false
prod-00757,CREMA PEINAR CAIDA RESIST ELVI,22000,Cuidado personal,CREMA PEINAR CAIDA RESIST ELVI,assets/imagenesmedimentos/reales/prod-00757.jpg,1,true,false
prod-00188,CREMA PONDS CLARANT B3 45G,22000,Cuidado personal,CREMA PONDS CLARANT B3 FACIL CON PROTECCION SOLAR 45G,assets/imagenesmedimentos/reales/prod-00188.webp,2,true,false
prod-00560,CREMA PONDS CLARANT B3 50G,19000,Cuidado personal,CREMA PONDS CLARANT B3 50G,assets/imagenesmedimentos/reales/prod-00560.png,2,true,false
prod-00879,CREMA PONDS NUTRITIVA 200G,41000,Cuidado personal,CREMA PONDS NUTRITIVA 200G,assets/imagenesmedimentos/reales/prod-00879.jpg,1,true,false
prod-00880,CREMA PONDS NUTRITIVA 50G,20500,Cuidado personal,CREMA PONDS NUTRITIVA 50G,assets/imagenesmedimentos/reales/prod-00880.png,1,true,false
prod-00189,CREMA PONDS REJUVENESS 50G,19000,Cuidado personal,CREMA PONDS REJUVENESS 50G,assets/imagenesmedimentos/reales/prod-00189.jpg,4,true,false
prod-00878,CREMA PONDS VERDE PEPINO 50G,19000,Cuidado personal,CREMA PONDS VERDE PEPINO 50G,assets/imagenesmedimentos/reales/prod-00878.png,1,true,false
prod-00578,CREMA PROTECTORA ARRURRU 25G,11800,Cuidado personal,CREMA PROTECTORA ARRURRU 25G,assets/imagenesmedimentos/reales/prod-00578.jpg,1,true,false
prod-00006,DERMASKIN CREMA 20 G,14600,Cuidado personal,DERMASKIN CREMA 20 G,assets/imagenesmedimentos/reales/prod-00006.png,3,true,false
prod-00750,DERMASKIN CREMA 40G,23000,Cuidado personal,DERMASKIN CREMA 40G,assets/imagenesmedimentos/reales/prod-00750.png,2,true,false
prod-00344,DESODORANTE BALANCE MEN 30G,4900,Cuidado personal,DESODORANTE BALANCE MEN 30G,assets/imagenesmedimentos/reales/prod-00344.jpg,2,true,false
prod-00501,DESODORANTE BALANCE MEN 50G,22800,Cuidado personal,DESODORANTE BALANCE CLINICAL CREMA MEN 50G,assets/imagenesmedimentos/reales/prod-00501.jpg,1,true,false
prod-00343,DESODORANTE BALANCE WOMEN 30G,4900,Cuidado personal,DESODORANTE BALANCE WOMEN 30G,assets/imagenesmedimentos/reales/prod-00343.jpg,2,true,false
prod-00500,DESODORANTE BALANCE WOMEN 50G,22800,Cuidado personal,DESODORANTE BALANCE CLINICAL CREMA WOMEN 50G,assets/imagenesmedimentos/reales/prod-00500.jpg,2,true,false
prod-00786,DESODORANTE DOVE SPRAY 150ML,22800,Cuidado personal,DESODORANTE DOVE SPRAY 150ML,assets/imagenesmedimentos/reales/prod-00786.jpg,2,true,false
prod-00472,DESODORANTE NIVEA ACLARANTE,15800,Cuidado personal,DESODORANTE NIVEA ACLARANTE 50ML ROLON,assets/imagenesmedimentos/reales/prod-00472.jpg,2,true,false
