Total pendientes: 119

prod-00340 | nombre='CREMA LUBRIDERM HUMECTACION DE' | desc='CREMA LUBRIDERM HUMECTACION DELICADA  120ML' | cat='Cuidado personal'
prod-00277 | nombre='HIDROXIDO ALUMINIO - HIDROXIDO' | desc='HIDROXIDO ALUMINIO - HIDROXIDO DE MAGNESIO 150ML' | cat='Otros'
prod-00270 | nombre='CLINDAMIXINA 600MG AMPOLLA' | desc='CLINDAMIXINA 600MG AMPOLLA' | cat='Otros'
prod-00116 | nombre='JERINGA 3P 5 ML' | desc='JERINGA 3P 5 ML' | cat='Otros'
prod-00434 | nombre='ACIDO FUSIDICO CREMA 2% LAPROF' | desc='ACIDO FUSIDICO CREMA 2% LAPROFF' | cat='Cuidado personal'
prod-00595 | nombre='CREMA DE CALENDULA PILI 30G' | desc='CREMA DE CALENDULA PILI 30G' | cat='Cuidado personal'
prod-00615 | nombre='VITALIS CREMA TOPICA BETAMETAS' | desc='VITALIS CREMA TOPICA BETAMETASONA 0,04%' | cat='Cuidado personal'
prod-00696 | nombre='ACEITE DE COCO 100ML EXTRA VIR' | desc='ACEITE DE COCO 100ML EXTRA VIR' | cat='Otros'
prod-00772 | nombre='ACONDICI PANTENE CONTROL CAIDA' | desc='ACONDICI PANTENE CONTROL CAIDA' | cat='Otros'
prod-00775 | nombre='CEPILLO DENTAL NIÑOS SONRIDENT' | desc='CEPILLO DENTAL NIÑOS SONRIDENT' | cat='Otros'
prod-00712 | nombre='PRESTOBARBA GILLETTE NARANJA' | desc='PRESTOBARBA GILLETTE NARANJA' | cat='Otros'
prod-00390 | nombre='PRUEBA DE EMBARAZO CASSET ALL SET' | desc='PRUEBA DE EMBARAZO CASSET ALL SET' | cat='Otros'
prod-00646 | nombre='TE HATSU SURTIDO 450ML' | desc='TE HATSU SURTIDO 450ML' | cat='Otros'
prod-00769 | nombre='TRATAM GLYCOLIC GLOSS 300G ELV' | desc='TRATAM GLYCOLIC GLOSS 300G ELVIVE' | cat='Otros'
prod-00889 | nombre='ISOFLAVONAS DE SOYA 500MG' | desc='ISOFLAVONAS DE SOYA 500MG' | cat='Otros'
prod-00787 | nombre='ACONDIC SAVITAL 490ML ELIXIR R' | desc='ACONDIC SAVITAL 490ML ELIXIR ROMERO' | cat='Otros'
prod-00784 | nombre='SHAMPO DOVE RECONSTRUCCION + A' | desc='SHAMPO DOVE RECONSTRUCCION + AMINO 370ML' | cat='Otros'
prod-00461 | nombre='MEGA MAX ENERGY SOBRE' | desc='MEGA MAX ENERGY SOBRE' | cat='Otros'
prod-00458 | nombre='VITACEREBRINA 1000ML OMEGA 3,6' | desc='VITACEREBRINA 1000ML OMEGA 3,6,9' | cat='Vitaminas'
prod-00139 | nombre='CERITAMIN JARABE 60 ML' | desc='CERITAMIN JARABE 60 ML' | cat='Otros'
prod-00138 | nombre='CERITAMIN GOTAS 10MG' | desc='CERITAMIN GOTAS 10MG' | cat='Otros'
prod-00055 | nombre='ALCOHOL ALCOMAX 350 ML' | desc='ALCOHOL ALCOMAX 350 ML' | cat='Otros'
prod-00054 | nombre='ALCOHOL ALCOMAX 700 ML' | desc='ALCOHOL ALCOMAX 700 ML' | cat='Otros'
prod-00133 | nombre='ALGODON MOTOCITOS 25G' | desc='ALGODON MOTOCITOS 25G' | cat='Antigripales'
prod-00134 | nombre='ALGODON MOTOCITOS 50G' | desc='ALGODON MOTOCITOS 50G' | cat='Antigripales'
prod-00533 | nombre='DESLORATADINA KIDS 60ML MEMPHI' | desc='DESLORATADINA KIDS 60ML MEMPHIS' | cat='Antigripales'
prod-00357 | nombre='PAÑITOS HUMEDOS TITOS X100' | desc='PAÑITOS HUMEDOS TITOS X100' | cat='Antigripales'
prod-00591 | nombre='CLOBETASOL PROPINATO CREMA LAP' | desc='CLOBETASOL PROPINATO CREMA LAPROFF 0.05%' | cat='Cuidado personal'
prod-00885 | nombre='GELILAB ADVANCE UVA PHARBIOLAB' | desc='GELILAB ADVANCE UVA PHARBIOLAB' | cat='Cuidado personal'
prod-00537 | nombre='PROTECTOR NUDE SOLAR 80FPS 40M' | desc='PROTECTOR NUDE SOLAR 80FPS 40ML' | cat='Cuidado personal'
prod-00694 | nombre='SAVIDOL VITALFARMA GEL 90G' | desc='SAVIDOL VITALFARMA GEL 90G' | cat='Cuidado personal'
prod-00338 | nombre='SHAMPOO JOHNSONS BABY GLICERIN' | desc='SHAMPOO JOHNSONS BABY GLICERIN' | cat='Cuidado personal'
prod-00495 | nombre='SHAMPOO TIO NACHO CONTROL CAS' | desc='SHAMPOO TIO NACHO CONTROL CASPA 415ML' | cat='Cuidado personal'
prod-00243 | nombre='AMTRIPTILINA 25 MG AG' | desc='AMTRIPTILINA 25 MG AG' | cat='Otros'
prod-00858 | nombre='ANGIOVAN CILOSTAZOL 50MG TECNO' | desc='ANGIOVAN CILOSTAZOL 50MG TECNO' | cat='Otros'
prod-00688 | nombre='CITRATO DE POTASIO PREMIUM D3' | desc='CITRATO DE POTASIO PREMIUM D3' | cat='Otros'
prod-00256 | nombre='CLORFERAMINA JARABE 2MG' | desc='CLORFERAMINA JARABE 2MG' | cat='Otros'
prod-00502 | nombre='MICROPORE KENNEDY PIEL 1/2X5' | desc='MICROPORE KENNEDY PIEL 1/2X5' | cat='Otros'
prod-00503 | nombre='MICROPORE KENNEDY PIEL 1X5' | desc='MICROPORE KENNEDY PIEL 1X5' | cat='Otros'
prod-00541 | nombre='MICROPORE SUPREME 1X1' | desc='MICROPORE SUPREME 1X1' | cat='Otros'
prod-00693 | nombre='MIEL DE ABEJAS LA ESPERANZA 355G' | desc='MIEL DE ABEJAS LA ESPERANZA 355G' | cat='Otros'
prod-00202 | nombre='REDOXON TOTAL EFER 10 COMPRIMI' | desc='REDOXON TOTAL EFER 10 COMPRIMI' | cat='Otros'
prod-00106 | nombre='RELAXMENT PLUS 500 MG 30 TABLE' | desc='RELAXMENT PLUS 500 MG 30 TABLE' | cat='Otros'
prod-00105 | nombre='RELAXMENT PLUS 500MG 20 TABLE' | desc='RELAXMENT PLUS 500MG 20 TABLE' | cat='Otros'
prod-00731 | nombre='REMOVEDOR LANDER + OBSE' | desc='REMOVEDOR LANDER + OBSE' | cat='Otros'
prod-00751 | nombre='SHAMPO DREAM LISO ELVIVE 370ML' | desc='SHAMPO DREAM LISO ELVIVE 370ML' | cat='Otros'
prod-00755 | nombre='SHAMPO GLYCOLIC CRISTAL ELVIVE' | desc='SHAMPO GLYCOLIC CRISTAL ELVIVE' | cat='Otros'
prod-00888 | nombre='SIETE FACTORES DE TRANSF 650MG' | desc='SIETE FACTORES DE TRANSF 650MG' | cat='Otros'
prod-00689 | nombre='SURELAB CHILDREN´S POLVO VAINI' | desc='SURELAB CHILDREN´S POLVO VAINI' | cat='Otros'
prod-00314 | nombre='TADALOFILO 20MG' | desc='TADALOFILO 20MG' | cat='Otros'
prod-00457 | nombre='TOROVITAL SANGRE TORO 1000ML' | desc='TOROVITAL SANGRE TORO 1000ML' | cat='Otros'
prod-00762 | nombre='TRATAMI 3 EN 1 HIDRAHIALU 500M' | desc='TRATAMI 3 EN 1 HIDRAHIALU 500M' | cat='Otros'
prod-00863 | nombre='TRIMETOPRIM SULFAMETO F GENGAR' | desc='TRIMETOPRIM SULFAMETOXAZOL F GENGAR' | cat='Otros'
