"id","nombre","categoria","imagen_actual","imagen_real"
"prod-00429","BLOQUEADOR SUNDARK ADULTOS SOB","Antigripales","imagenesmedimentos/genericas/productos/prod-00429.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00429"
"prod-00526","DESLORATADINA 5MG 10 TB LAPROF","Antigripales","imagenesmedimentos/loratadina10mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00526"
"prod-00492","DESLORATADINA 5MG GENFAR 10T","Antigripales","imagenesmedimentos/loratadina10mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00492"
"prod-00521","DESLORATADINA 60ML JARABE LA S","Antigripales","imagenesmedimentos/loratadina10mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00521"
"prod-00515","DESLORATADINA JARABE ECAR 60ML","Antigripales","imagenesmedimentos/loratadina10mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00515"
"prod-00533","DESLORATADINA KIDS 60ML MEMPHI","Antigripales","imagenesmedimentos/loratadina10mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00533"
"prod-00285","DOLEX GRIPA","Antigripales","imagenesmedimentos/dolex.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00285"
"prod-00511","LORATADINA 10MG AG 20 TABLETAS","Antigripales","imagenesmedimentos/loratadina10mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00511"
"prod-00494","LORATADINA JARABE 100ML GENFAR","Antigripales","imagenesmedimentos/loratadina10mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00494"
"prod-00530","LORATADINA JARABE 100ML LAPROF","Antigripales","imagenesmedimentos/loratadina10mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00530"
"prod-00295","MIELTERTOS NIÑOS JARABE 180ML","Antigripales","imagenesmedimentos/genericas/productos/prod-00295.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00295"
"prod-00126","NOXPIRIN DIA MANDARINA 15G","Antigripales","imagenesmedimentos/nospirina.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00126"
"prod-00127","NOXPIRIN JUNIOR JARABE 120ML","Antigripales","imagenesmedimentos/nospirina.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00127"
"prod-00032","NOXPIRIN NOCHE PANELA-LIMON","Antigripales","imagenesmedimentos/nospirina.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00032"
"prod-00357","PAÑITOS HUMEDOS TITOS X100","Antigripales","imagenesmedimentos/genericas/productos/prod-00357.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00357"
"prod-00366","REPELENTE MOSQUITOS OUT 60ML","Antigripales","imagenesmedimentos/genericas/productos/prod-00366.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00366"
"prod-00367","REPELENTE MOSQUITOS OUT 65G","Antigripales","imagenesmedimentos/genericas/productos/prod-00367.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00367"
"prod-00007","VICK 44 EXPECTORANTE ADULTOS J","Antigripales","imagenesmedimentos/genericas/productos/prod-00007.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00007"
"prod-00100","DICLOFENACO 75 MG AMPOLLAS","Antiinflamatorios","imagenesmedimentos/diclofenacogel.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00100"
"prod-00110","DORMEX DICLOFENACO 100 MG","Antiinflamatorios","imagenesmedimentos/diclofenacogel.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00110"
"prod-00554","IBUPROFENO 100MG SUSP MK","Antiinflamatorios","imagenesmedimentos/Ibuprofeno800mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00554"
"prod-00493","IBUPROFENO SUSPEN GENFAR 120ML","Antiinflamatorios","imagenesmedimentos/Ibuprofeno800mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00493"
"prod-00523","MELOXICAM 15MG 10 TABLE LA SAN","Antiinflamatorios","imagenesmedimentos/genericas/productos/prod-00523.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00523"
"prod-00332","MELOXICAM 15MG AMPOLLA","Antiinflamatorios","imagenesmedimentos/genericas/productos/prod-00332.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00332"
"prod-00891","NAPROXENO 500MG LAPROFF","Antiinflamatorios","imagenesmedimentos/naproxeno500mg.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00891"
"prod-00892","PIROXICAM 20MG 10 CAPSULAS","Antiinflamatorios","imagenesmedimentos/genericas/productos/prod-00892.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00892"
"prod-00284","DOLEX BEBES JARABE 60ML","Bebés","imagenesmedimentos/dolex.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00284"
"prod-00821","PAÑA WINNY PANTS ETAPA 5 X30","Bebés","imagenesmedimentos/pañaleswinny.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00821"
"prod-00359","PAÑALES WINNY ETAPA 2 X30","Bebés","imagenesmedimentos/pañaleshuggies.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00359"
"prod-00360","PAÑALES WINNY ETAPA 3 X30","Bebés","imagenesmedimentos/pañaleshuggies.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00360"
"prod-00358","PAÑALES WINNY ETAPA1 X30","Bebés","imagenesmedimentos/pañaleshuggies.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00358"
"prod-00824","PAÑALES WINNY SENSITIVE ETA 1","Bebés","imagenesmedimentos/pañaleshuggies.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00824"
"prod-00823","SIMILAC MAMA 400G","Bebés","imagenesmedimentos/similac1.jpg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00823"
"prod-00253","AMITRIPTILINA CLORHIDRATO 25MG","Bebidas","imagenesmedimentos/genericas/productos/prod-00253.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00253"
"prod-00120","ELECTROLIT HIDRATANTE FRESA","Bebidas","imagenesmedimentos/electrolit.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00120"
"prod-00122","ELECTROLIT HIDRATANTE MARACUYA","Bebidas","imagenesmedimentos/electrolit.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00122"
"prod-00121","ELECTROLIT HIDRATANTE UVA","Bebidas","imagenesmedimentos/electrolit.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00121"
"prod-00640","ELECTROLIT SABOR NARANJA-MANDA","Bebidas","imagenesmedimentos/electrolit.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00640"
"prod-00050","PEDIALYTE MAX MANZANA 500 ML","Bebidas","imagenesmedimentos/pedialyte.png","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00050"
"prod-00657","SHAMPOO DOVE HIDRATACION 370ML","Bebidas","imagenesmedimentos/genericas/productos/prod-00657.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00657"
"prod-00565","SUERO FISIOLOGICO GOTAS 30ML","Bebidas","imagenesmedimentos/genericas/productos/prod-00565.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00565"
"prod-00624","SUERO SOLHIDREX CEREZA SOBRE","Bebidas","imagenesmedimentos/genericas/productos/prod-00624.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00624"
"prod-00623","SUERO SOLHIDREX UVA SOBRE","Bebidas","imagenesmedimentos/genericas/productos/prod-00623.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00623"
"prod-00562","SUEROX SABOR A HIERBABUENA","Bebidas","imagenesmedimentos/genericas/productos/prod-00562.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00562"
"prod-00561","SUEROX SABOR A UVA 630ML","Bebidas","imagenesmedimentos/genericas/productos/prod-00561.svg","https://placehold.co/400x400/e8edf3/0b1f3a?text=Medicamento%20prod-00561"
